ObjectID,TimeIndex,Direction,Node,Type
1890,2171,ES,ES,ES
877,0,EW,SS,NK
877,0,NS,SS,NK
877,350,EW,AD,NK
877,357,EW,IK,EK
877,366,NS,IK,CK
877,1525,EW,ID,NK
877,1525,NS,ID,NK
877,2171,ES,ES,ES
17,0,EW,SS,HK
17,0,NS,SS,NK
17,2171,ES,ES,ES
534,0,EW,SS,NK
534,0,NS,SS,NK
534,348,EW,AD,NK
534,354,EW,IK,EK
534,384,NS,IK,EK
534,2171,ES,ES,ES
236,0,EW,SS,EK
236,0,NS,SS,EK
236,2171,ES,ES,ES
1426,0,EW,SS,NK
1426,0,NS,SS,NK
1426,744,EW,AD,NK
1426,750,EW,IK,CK
1426,772,NS,IK,CK
1426,1586,NS,ID,NK
1426,1909,EW,ID,NK
1426,2171,ES,ES,ES
517,0,EW,SS,HK
517,0,NS,SS,HK
517,685,EW,ID,NK
517,685,NS,ID,NK
517,808,EW,AD,NK
517,2171,ES,ES,ES
683,0,EW,SS,NK
683,0,NS,SS,NK
683,338,EW,AD,NK
683,344,EW,IK,CK
683,349,NS,IK,EK
683,1093,EW,ID,NK
683,1093,NS,ID,NK
683,2171,ES,ES,ES
356,0,EW,SS,EK
356,0,NS,SS,EK
356,505,EW,ID,NK
356,505,NS,ID,NK
356,677,EW,AD,NK
356,870,EW,AD,NK
356,877,EW,IK,EK
356,906,NS,IK,EK
356,2171,ES,ES,ES
406,0,EW,SS,EK
406,0,NS,SS,CK
406,301,EW,ID,NK
406,301,NS,ID,NK
406,402,EW,AD,NK
406,2171,ES,ES,ES
1472,0,EW,SS,NK
1472,0,NS,SS,NK
1472,813,EW,AD,NK
1472,840,EW,IK,CK
1472,920,NS,IK,CK
1472,1926,NS,ID,NK
1472,2171,ES,ES,ES
467,0,EW,SS,CK
467,0,NS,SS,EK
467,925,EW,ID,NK
467,925,NS,ID,NK
467,2063,EW,AD,NK
467,2171,ES,ES,ES
1230,0,EW,SS,EK
1230,0,NS,SS,CK
1230,2171,ES,ES,ES
1227,0,EW,SS,CK
1227,0,NS,SS,CK
1227,2171,ES,ES,ES
358,0,EW,SS,EK
358,0,NS,SS,EK
358,1117,EW,ID,NK
358,1117,NS,ID,NK
358,1497,EW,AD,NK
358,1569,EW,AD,NK
358,1599,EW,IK,EK
358,1626,NS,IK,EK
358,2171,ES,ES,ES
630,0,EW,SS,NK
630,0,NS,SS,NK
630,1037,EW,AD,NK
630,1043,EW,IK,EK
630,1061,NS,IK,CK
630,1993,EW,ID,NK
630,1993,NS,ID,NK
630,2171,ES,ES,ES
369,0,EW,SS,EK
369,0,NS,SS,EK
369,1261,EW,ID,NK
369,1261,NS,ID,NK
369,1384,EW,AD,NK
369,2171,ES,ES,ES
1620,0,EW,SS,CK
1620,0,NS,SS,CK
1620,1016,NS,ID,NK
1620,2171,ES,ES,ES
326,0,EW,SS,EK
326,0,NS,SS,NK
326,521,NS,IK,EK
326,2171,ES,ES,ES
1105,0,EW,SS,NK
1105,0,NS,SS,NK
1105,1221,EW,AD,NK
1105,1228,EW,IK,CK
1105,1897,EW,ID,NK
1105,2171,ES,ES,ES
1433,0,EW,SS,NK
1433,0,NS,SS,NK
1433,385,EW,AD,NK
1433,391,EW,IK,CK
1433,417,NS,IK,CK
1433,1686,NS,ID,NK
1433,2065,EW,ID,NK
1433,2171,ES,ES,ES
778,0,EW,SS,NK
778,0,NS,SS,NK
778,493,EW,AD,NK
778,499,EW,IK,EK
778,539,NS,IK,EK
778,2171,ES,ES,ES
1780,0,EW,SS,EK
1780,0,NS,SS,CK
1780,1482,NS,ID,NK
1780,2171,ES,ES,ES
1045,0,EW,SS,NK
1045,0,NS,SS,NK
1045,217,EW,AD,NK
1045,223,EW,IK,EK
1045,259,NS,IK,CK
1045,930,NS,ID,NK
1045,2171,ES,ES,ES
649,0,EW,SS,NK
649,0,NS,SS,NK
649,481,EW,IK,EK
649,528,NS,IK,EK
649,1537,EW,ID,NK
649,1537,NS,ID,NK
649,2171,ES,ES,ES
1688,0,EW,SS,CK
1688,0,NS,SS,EK
1688,2171,ES,ES,ES
1342,0,EW,SS,NK
1342,0,NS,SS,NK
1342,909,EW,AD,NK
1342,916,EW,IK,CK
1342,1051,NS,IK,CK
1342,1513,EW,ID,NK
1342,1513,NS,ID,NK
1342,2171,ES,ES,ES
192,0,EW,SS,HK
192,0,NS,SS,HK
192,325,EW,ID,NK
192,325,NS,ID,NK
192,2183,ES,ES,ES
100,0,EW,SS,CK
100,0,NS,SS,NK
100,2171,ES,ES,ES
1601,0,EW,SS,EK
1601,0,NS,SS,CK
1601,1183,NS,ID,NK
1601,2171,ES,ES,ES
121,0,EW,SS,NK
121,0,NS,SS,NK
121,124,EW,AD,NK
121,557,EW,AD,NK
121,783,EW,AD,NK
121,816,EW,IK,HK
121,1236,NS,IK,CK
121,2171,ES,ES,ES
1590,0,EW,SS,CK
1590,0,NS,SS,CK
1590,584,NS,ID,NK
1590,2171,ES,ES,ES
90,0,EW,SS,CK
90,0,NS,SS,NK
90,2171,ES,ES,ES
468,0,EW,SS,CK
468,0,NS,SS,EK
468,661,EW,ID,NK
468,661,NS,ID,NK
468,1203,EW,AD,NK
468,1356,EW,AD,NK
468,2171,ES,ES,ES
786,0,EW,SS,NK
786,0,NS,SS,NK
786,996,EW,AD,NK
786,1003,EW,IK,EK
786,1041,NS,IK,EK
786,2171,ES,ES,ES
702,0,EW,SS,NK
702,0,NS,SS,NK
702,384,EW,AD,NK
702,391,EW,IK,CK
702,396,NS,IK,EK
702,2171,ES,ES,ES
443,0,EW,SS,NK
443,0,NS,SS,NK
443,603,EW,AD,NK
443,809,EW,AD,NK
443,816,EW,IK,EK
443,2171,ES,ES,ES
217,0,EW,SS,HK
217,0,NS,SS,HK
217,1165,EW,ID,NK
217,1165,NS,ID,NK
217,1346,EW,AD,NK
217,1416,EW,AD,NK
217,1434,EW,IK,HK
217,1950,NS,IK,HK
217,2183,ES,ES,ES
1741,0,EW,SS,EK
1741,0,NS,SS,EK
1741,1165,NS,ID,NK
1741,2171,ES,ES,ES
976,0,EW,SS,NK
976,0,NS,SS,NK
976,1344,EW,AD,NK
976,1350,EW,IK,CK
976,1375,NS,IK,CK
976,2171,ES,ES,ES
1333,0,EW,SS,NK
1333,0,NS,SS,NK
1333,744,EW,AD,NK
1333,750,EW,IK,CK
1333,772,NS,IK,CK
1333,1705,EW,ID,NK
1333,1705,NS,ID,NK
1333,2171,ES,ES,ES
379,0,EW,SS,NK
379,0,NS,SS,NK
379,123,EW,AD,NK
379,180,EW,AD,NK
379,186,EW,IK,EK
379,200,NS,IK,EK
379,2171,ES,ES,ES
288,0,EW,SS,EK
288,0,NS,SS,EK
288,241,EW,ID,NK
288,241,NS,ID,NK
288,705,EW,AD,NK
288,861,EW,AD,NK
288,868,EW,IK,EK
288,2171,ES,ES,ES
1718,0,EW,SS,CK
1718,0,NS,SS,EK
1718,665,NS,ID,NK
1718,2171,ES,ES,ES
1050,0,EW,SS,NK
1050,0,NS,SS,NK
1050,658,EW,AD,NK
1050,664,EW,IK,HK
1050,675,NS,IK,HK
1050,1513,NS,ID,NK
1050,2171,ES,ES,ES
1817,0,EW,SS,EK
1817,0,NS,SS,CK
1817,2171,ES,ES,ES
911,0,EW,SS,NK
911,0,NS,SS,NK
911,899,EW,AD,NK
911,905,EW,IK,CK
911,932,NS,IK,CK
911,2171,ES,ES,ES
1383,0,EW,SS,NK
1383,0,NS,SS,NK
1383,744,EW,AD,NK
1383,750,EW,IK,CK
1383,772,NS,IK,CK
1383,1705,EW,ID,NK
1383,1705,NS,ID,NK
1383,2171,ES,ES,ES
508,0,EW,SS,NK
508,0,NS,SS,NK
508,283,EW,AD,NK
508,289,EW,IK,EK
508,312,NS,IK,EK
508,2171,ES,ES,ES
1495,0,EW,SS,NK
1495,0,NS,SS,NK
1495,728,EW,AD,NK
1495,762,EW,IK,HK
1495,1105,NS,IK,HK
1495,1799,NS,ID,NK
1495,2171,ES,ES,ES
737,0,EW,SS,NK
737,0,NS,SS,NK
737,1356,EW,AD,NK
737,1363,EW,IK,EK
737,1394,NS,IK,EK
737,2171,ES,ES,ES
1225,0,EW,SS,CK
1225,0,NS,SS,CK
1225,2171,ES,ES,ES
1345,0,EW,SS,NK
1345,0,NS,SS,NK
1345,1596,EW,AD,NK
1345,1603,EW,IK,CK
1345,1626,NS,IK,CK
1345,2149,EW,ID,NK
1345,2149,NS,ID,NK
1345,2171,ES,ES,ES
973,0,EW,SS,NK
973,0,NS,SS,NK
973,1527,EW,AD,NK
973,1534,EW,IK,CK
973,1554,NS,IK,CK
973,2171,ES,ES,ES
729,0,EW,SS,NK
729,0,NS,SS,NK
729,317,EW,AD,NK
729,323,EW,IK,EK
729,366,NS,IK,EK
729,2171,ES,ES,ES
1403,0,EW,SS,NK
1403,0,NS,SS,NK
1403,512,EW,AD,NK
1403,519,EW,IK,HK
1403,530,NS,IK,HK
1403,1787,NS,ID,NK
1403,2041,EW,ID,NK
1403,2171,ES,ES,ES
446,0,EW,SS,NK
446,0,NS,SS,NK
446,603,EW,AD,NK
446,665,EW,AD,NK
446,1515,EW,AD,NK
446,1522,EW,IK,EK
446,1552,NS,IK,EK
446,2171,ES,ES,ES
1291,0,EW,SS,NK
1291,0,NS,SS,NK
1291,813,EW,AD,NK
1291,840,EW,IK,CK
1291,1741,EW,ID,NK
1291,2171,ES,ES,ES
1326,0,EW,SS,NK
1326,0,NS,SS,NK
1326,1728,EW,AD,NK
1326,1735,EW,IK,EK
1326,1755,NS,IK,CK
1326,2149,EW,ID,NK
1326,2149,NS,ID,NK
1326,2171,ES,ES,ES
1723,0,EW,SS,EK
1723,0,NS,SS,CK
1723,1115,NS,ID,NK
1723,2171,ES,ES,ES
1135,0,EW,SS,NK
1135,0,NS,SS,NK
1135,574,EW,AD,NK
1135,581,EW,IK,HK
1135,599,NS,IK,HK
1135,1393,EW,ID,NK
1135,1393,NS,ID,NK
1135,2171,ES,ES,ES
886,0,EW,SS,NK
886,0,NS,SS,NK
886,172,EW,AD,NK
886,178,EW,IK,EK
886,203,NS,IK,CK
886,1069,EW,ID,NK
886,1069,NS,ID,NK
886,2171,ES,ES,ES
122,0,EW,SS,NK
122,0,NS,SS,NK
122,124,EW,AD,NK
122,557,EW,AD,NK
122,783,EW,AD,NK
122,816,EW,IK,HK
122,1236,NS,IK,CK
122,2171,ES,ES,ES
380,0,EW,SS,NK
380,0,NS,SS,NK
380,136,EW,AD,NK
380,142,EW,IK,EK
380,195,NS,IK,EK
380,1081,EW,ID,NK
380,1081,NS,ID,NK
380,2171,ES,ES,ES
413,0,EW,SS,EK
413,0,NS,SS,CK
413,757,EW,ID,NK
413,757,NS,ID,NK
413,880,EW,AD,NK
413,940,EW,AD,NK
413,946,EW,IK,EK
413,952,NS,IK,CK
413,2171,ES,ES,ES
1402,0,EW,SS,NK
1402,0,NS,SS,NK
1402,65,EW,AD,NK
1402,71,EW,IK,HK
1402,435,NS,IK,HK
1402,1440,NS,ID,NK
1402,1681,EW,ID,NK
1402,2171,ES,ES,ES
1724,0,EW,SS,EK
1724,0,NS,SS,EK
1724,1025,NS,ID,NK
1724,2171,ES,ES,ES
741,0,EW,SS,NK
741,0,NS,SS,NK
741,620,EW,AD,NK
741,627,EW,IK,EK
741,664,NS,IK,EK
741,2171,ES,ES,ES
1463,0,EW,SS,NK
1463,0,NS,SS,NK
1463,899,EW,AD,NK
1463,905,EW,IK,CK
1463,932,NS,IK,CK
1463,1949,NS,ID,NK
1463,2171,ES,ES,ES
495,0,EW,SS,EK
495,0,NS,SS,NK
495,521,NS,IK,EK
495,1597,EW,ID,NK
495,1597,NS,ID,NK
495,1853,EW,AD,NK
495,1972,EW,AD,NK
495,2171,ES,ES,ES
1671,0,EW,SS,CK
1671,0,NS,SS,EK
1671,2171,ES,ES,ES
775,0,EW,SS,NK
775,0,NS,SS,NK
775,444,EW,AD,NK
775,450,EW,IK,EK
775,491,NS,IK,EK
775,2171,ES,ES,ES
554,0,EW,SS,NK
554,0,NS,SS,NK
554,1097,EW,AD,NK
554,1104,EW,IK,EK
554,1157,NS,IK,EK
554,2171,ES,ES,ES
1217,0,EW,SS,CK
1217,0,NS,SS,CK
1217,2171,ES,ES,ES
971,0,EW,SS,NK
971,0,NS,SS,NK
971,385,EW,AD,NK
971,391,EW,IK,CK
971,417,NS,IK,CK
971,2171,ES,ES,ES
242,0,EW,SS,EK
242,0,NS,SS,EK
242,2171,ES,ES,ES
1281,0,EW,SS,NK
1281,0,NS,SS,NK
1281,375,EW,AD,NK
1281,381,EW,IK,CK
1281,429,NS,IK,CK
1281,1513,EW,ID,NK
1281,1513,NS,ID,NK
1281,2171,ES,ES,ES
411,0,EW,SS,EK
411,0,NS,SS,CK
411,757,EW,ID,NK
411,757,NS,ID,NK
411,880,EW,AD,NK
411,940,EW,AD,NK
411,2171,ES,ES,ES
1845,0,EW,SS,EK
1845,0,NS,SS,EK
1845,2171,ES,ES,ES
1891,0,EW,SS,HK
1891,0,NS,SS,HK
1891,2171,ES,ES,ES
717,0,EW,SS,NK
717,0,NS,SS,NK
717,1093,EW,AD,NK
717,1100,EW,IK,EK
717,1144,NS,IK,EK
717,2171,ES,ES,ES
812,0,EW,SS,NK
812,0,NS,SS,NK
812,1124,EW,AD,NK
812,1130,EW,IK,EK
812,1173,NS,IK,EK
812,1837,EW,ID,NK
812,1837,NS,ID,NK
812,2171,ES,ES,ES
168,0,EW,SS,CK
168,0,NS,SS,CK
168,1717,EW,ID,NK
168,1717,NS,ID,NK
168,2171,ES,ES,ES
1446,0,EW,SS,NK
1446,0,NS,SS,NK
1446,41,EW,AD,NK
1446,84,EW,IK,CK
1446,133,NS,IK,CK
1446,983,NS,ID,NK
1446,2171,ES,ES,ES
1382,0,EW,SS,NK
1382,0,NS,SS,NK
1382,1379,EW,AD,NK
1382,1386,EW,IK,CK
1382,1409,NS,IK,CK
1382,1960,NS,ID,NK
1382,2113,EW,ID,NK
1382,2171,ES,ES,ES
1299,0,EW,SS,NK
1299,0,NS,SS,NK
1299,210,EW,AD,NK
1299,216,EW,IK,HK
1299,241,NS,IK,HK
1299,1069,EW,ID,NK
1299,1069,NS,ID,NK
1299,2171,ES,ES,ES
370,0,EW,SS,EK
370,0,NS,SS,EK
370,649,EW,ID,NK
370,649,NS,ID,NK
370,773,EW,AD,NK
370,2171,ES,ES,ES
1761,0,EW,SS,EK
1761,0,NS,SS,EK
1761,1274,NS,ID,NK
1761,2171,ES,ES,ES
928,0,EW,SS,NK
928,0,NS,SS,NK
928,741,EW,AD,NK
928,748,EW,IK,HK
928,782,NS,IK,HK
928,2171,ES,ES,ES
1754,0,EW,SS,CK
1754,0,NS,SS,EK
1754,878,NS,ID,NK
1754,2171,ES,ES,ES
908,0,EW,SS,NK
908,0,NS,SS,NK
908,1003,EW,AD,NK
908,1010,EW,IK,CK
908,1055,NS,IK,CK
908,2171,ES,ES,ES
1321,0,EW,SS,NK
1321,0,NS,SS,NK
1321,257,EW,AD,NK
1321,263,EW,IK,HK
1321,288,NS,IK,HK
1321,1465,EW,ID,NK
1321,1465,NS,ID,NK
1321,2171,ES,ES,ES
845,0,EW,SS,NK
845,0,NS,SS,NK
845,873,EW,AD,NK
845,879,EW,IK,EK
845,916,NS,IK,EK
845,1837,EW,ID,NK
845,1837,NS,ID,NK
845,2171,ES,ES,ES
1271,0,EW,SS,NK
1271,0,NS,SS,NK
1271,63,EW,AD,NK
1271,120,EW,IK,CK
1271,249,NS,IK,CK
1271,1405,EW,ID,NK
1271,1405,NS,ID,NK
1271,2171,ES,ES,ES
1823,0,EW,SS,CK
1823,0,NS,SS,EK
1823,2171,ES,ES,ES
959,0,EW,SS,NK
959,0,NS,SS,NK
959,658,EW,AD,NK
959,664,EW,IK,HK
959,675,NS,IK,HK
959,2171,ES,ES,ES
45,0,EW,SS,CK
45,0,NS,SS,CK
45,2207,ES,ES,ES
1536,0,EW,SS,CK
1536,0,NS,SS,CK
1536,787,NS,ID,NK
1536,2171,ES,ES,ES
1349,0,EW,SS,NK
1349,0,NS,SS,NK
1349,1444,EW,AD,NK
1349,1450,EW,IK,CK
1349,1471,NS,IK,CK
1349,2077,EW,ID,NK
1349,2077,NS,ID,NK
1349,2171,ES,ES,ES
1776,0,EW,SS,EK
1776,0,NS,SS,EK
1776,1130,NS,ID,NK
1776,2171,ES,ES,ES
1856,0,EW,SS,EK
1856,0,NS,SS,EK
1856,2171,ES,ES,ES
151,0,EW,SS,CK
151,0,NS,SS,CK
151,157,EW,ID,NK
151,157,NS,ID,NK
151,2171,ES,ES,ES
1341,0,EW,SS,NK
1341,0,NS,SS,NK
1341,385,EW,AD,NK
1341,391,EW,IK,CK
1341,417,NS,IK,CK
1341,1765,EW,ID,NK
1341,1765,NS,ID,NK
1341,2171,ES,ES,ES
1534,0,EW,SS,CK
1534,0,NS,SS,CK
1534,1159,NS,ID,NK
1534,2171,ES,ES,ES
957,0,EW,SS,NK
957,0,NS,SS,NK
957,1704,EW,AD,NK
957,1711,EW,IK,CK
957,1728,NS,IK,CK
957,2171,ES,ES,ES
725,0,EW,SS,NK
725,0,NS,SS,NK
725,525,EW,AD,NK
725,532,EW,IK,EK
725,550,NS,IK,CK
725,2171,ES,ES,ES
1517,0,EW,SS,NK
1517,0,NS,SS,NK
1517,995,EW,AD,NK
1517,1002,EW,IK,CK
1517,1023,NS,IK,CK
1517,1861,NS,ID,NK
1517,2171,ES,ES,ES
422,0,EW,SS,EK
422,0,NS,SS,EK
422,1069,EW,ID,NK
422,1069,NS,ID,NK
422,2171,ES,ES,ES
1274,0,EW,SS,NK
1274,0,NS,SS,NK
1274,1644,EW,AD,NK
1274,1651,EW,IK,CK
1274,1673,NS,IK,CK
1274,2125,EW,ID,NK
1274,2125,NS,ID,NK
1274,2171,ES,ES,ES
1543,0,EW,SS,CK
1543,0,NS,SS,CK
1543,717,NS,ID,NK
1543,2171,ES,ES,ES
1581,0,EW,SS,CK
1581,0,NS,SS,CK
1581,1626,NS,ID,NK
1581,2171,ES,ES,ES
776,0,EW,SS,NK
776,0,NS,SS,NK
776,88,EW,AD,NK
776,94,EW,IK,CK
776,99,NS,IK,EK
776,2171,ES,ES,ES
487,0,EW,SS,NK
487,0,NS,SS,NK
487,709,EW,AD,NK
487,944,EW,AD,NK
487,951,EW,IK,CK
487,959,NS,IK,EK
487,1861,EW,ID,NK
487,1861,NS,ID,NK
487,2171,ES,ES,ES
1864,0,EW,SS,EK
1864,0,NS,SS,EK
1864,2171,ES,ES,ES
806,0,EW,SS,NK
806,0,NS,SS,NK
806,951,EW,AD,NK
806,957,EW,IK,EK
806,994,NS,IK,EK
806,1609,EW,ID,NK
806,1609,NS,ID,NK
806,2171,ES,ES,ES
1010,0,EW,SS,NK
1010,0,NS,SS,NK
1010,1379,EW,AD,NK
1010,1386,EW,IK,CK
1010,1409,NS,IK,CK
1010,1960,NS,ID,NK
1010,2171,ES,ES,ES
1705,0,EW,SS,HK
1705,0,NS,SS,HK
1705,2171,ES,ES,ES
197,0,EW,SS,HK
197,0,NS,SS,HK
197,1165,EW,ID,NK
197,1165,NS,ID,NK
197,2183,ES,ES,ES
402,0,EW,SS,EK
402,0,NS,SS,CK
402,301,EW,ID,NK
402,301,NS,ID,NK
402,2171,ES,ES,ES
1655,0,EW,SS,EK
1655,0,NS,SS,EK
1655,2171,ES,ES,ES
1810,0,EW,SS,EK
1810,0,NS,SS,CK
1810,406,NS,ID,NK
1810,2171,ES,ES,ES
1116,0,EW,SS,NK
1116,0,NS,SS,NK
1116,443,EW,AD,NK
1116,449,EW,IK,HK
1116,468,NS,IK,HK
1116,1489,EW,ID,NK
1116,1489,NS,ID,NK
1116,2171,ES,ES,ES
1777,0,EW,SS,EK
1777,0,NS,SS,EK
1777,1193,NS,ID,NK
1777,2171,ES,ES,ES
1493,0,EW,SS,NK
1493,0,NS,SS,NK
1493,512,EW,AD,NK
1493,519,EW,IK,HK
1493,530,NS,IK,HK
1493,1620,NS,ID,NK
1493,2171,ES,ES,ES
272,0,EW,SS,EK
272,0,NS,SS,EK
272,781,EW,ID,NK
272,781,NS,ID,NK
272,2171,ES,ES,ES
474,0,EW,SS,CK
474,0,NS,SS,EK
474,1261,EW,ID,NK
474,1261,NS,ID,NK
474,1802,EW,AD,NK
474,1969,EW,AD,NK
474,1976,EW,IK,CK
474,1982,NS,IK,EK
474,2171,ES,ES,ES
275,0,EW,SS,EK
275,0,NS,SS,EK
275,781,EW,ID,NK
275,781,NS,ID,NK
275,1731,EW,AD,NK
275,2171,ES,ES,ES
1033,0,EW,SS,NK
1033,0,NS,SS,NK
1033,728,EW,AD,NK
1033,762,EW,IK,HK
1033,1105,NS,IK,HK
1033,1955,NS,ID,NK
1033,2171,ES,ES,ES
1175,0,EW,SS,CK
1175,0,NS,SS,CK
1175,2171,ES,ES,ES
118,0,EW,SS,NK
118,0,NS,SS,NK
118,539,EW,AD,NK
118,546,EW,IK,HK
118,552,NS,IK,HK
118,2171,ES,ES,ES
1172,0,EW,SS,CK
1172,0,NS,SS,CK
1172,2171,ES,ES,ES
1204,0,EW,SS,CK
1204,0,NS,SS,CK
1204,2171,ES,ES,ES
286,0,EW,SS,EK
286,0,NS,SS,EK
286,241,EW,ID,NK
286,241,NS,ID,NK
286,705,EW,AD,NK
286,861,EW,AD,NK
286,868,EW,IK,EK
286,911,NS,IK,EK
286,2171,ES,ES,ES
257,0,EW,SS,EK
257,0,NS,SS,EK
257,553,EW,ID,NK
257,553,NS,ID,NK
257,1402,EW,AD,NK
257,1760,EW,AD,NK
257,2171,ES,ES,ES
1004,0,EW,SS,NK
1004,0,NS,SS,NK
1004,1273,EW,AD,NK
1004,1279,EW,IK,CK
1004,1291,NS,IK,CK
1004,1662,NS,ID,NK
1004,2171,ES,ES,ES
830,0,EW,SS,NK
830,0,NS,SS,NK
830,402,EW,AD,NK
830,408,EW,IK,EK
830,450,NS,IK,EK
830,1489,EW,ID,NK
830,1489,NS,ID,NK
830,2171,ES,ES,ES
545,0,EW,SS,NK
545,0,NS,SS,NK
545,1282,EW,AD,NK
545,1289,EW,IK,EK
545,1343,NS,IK,EK
545,2171,ES,ES,ES
13,0,EW,SS,HK
13,0,NS,SS,NK
13,228,NS,IK,HK
13,2171,ES,ES,ES
901,0,EW,SS,NK
901,0,NS,SS,NK
901,1019,EW,AD,NK
901,1026,EW,IK,CK
901,1469,NS,IK,CK
901,2171,ES,ES,ES
991,0,EW,SS,NK
991,0,NS,SS,NK
991,1166,EW,AD,NK
991,1212,EW,IK,CK
991,1338,NS,IK,CK
991,1673,NS,ID,NK
991,2171,ES,ES,ES
341,0,EW,SS,EK
341,0,NS,SS,NK
341,385,EW,ID,NK
341,548,EW,AD,NK
341,2171,ES,ES,ES
312,0,EW,SS,CK
312,0,NS,SS,EK
312,229,EW,ID,NK
312,229,NS,ID,NK
312,2171,ES,ES,ES
1196,0,EW,SS,CK
1196,0,NS,SS,CK
1196,2171,ES,ES,ES
1025,0,EW,SS,NK
1025,0,NS,SS,NK
1025,1406,EW,AD,NK
1025,1412,EW,IK,HK
1025,1431,NS,IK,HK
1025,1862,NS,ID,NK
1025,2171,ES,ES,ES
515,0,EW,SS,HK
515,0,NS,SS,HK
515,685,EW,ID,NK
515,685,NS,ID,NK
515,2171,ES,ES,ES
662,0,EW,SS,NK
662,0,NS,SS,NK
662,1418,EW,AD,NK
662,1424,EW,IK,CK
662,1428,NS,IK,EK
662,2089,EW,ID,NK
662,2089,NS,ID,NK
662,2171,ES,ES,ES
1806,0,EW,SS,EK
1806,0,NS,SS,EK
1806,317,NS,ID,NK
1806,2171,ES,ES,ES
1361,0,EW,SS,NK
1361,0,NS,SS,NK
1361,481,EW,AD,NK
1361,564,EW,IK,CK
1361,667,NS,IK,CK
1361,1518,NS,ID,NK
1361,1945,EW,ID,NK
1361,2171,ES,ES,ES
475,0,EW,SS,CK
475,0,NS,SS,EK
475,157,EW,ID,NK
475,157,NS,ID,NK
475,723,EW,AD,NK
475,925,EW,AD,NK
475,931,EW,IK,CK
475,940,NS,IK,EK
475,2171,ES,ES,ES
1571,0,EW,SS,CK
1571,0,NS,SS,CK
1571,728,NS,ID,NK
1571,2171,ES,ES,ES
226,0,EW,SS,CK
226,0,NS,SS,CK
226,2171,ES,ES,ES
1146,0,EW,SS,NK
1146,0,NS,SS,NK
1146,852,EW,AD,NK
1146,858,EW,IK,CK
1146,914,NS,IK,CK
1146,2017,EW,ID,NK
1146,2017,NS,ID,NK
1146,2171,ES,ES,ES
686,0,EW,SS,NK
686,0,NS,SS,NK
686,977,EW,AD,NK
686,983,EW,IK,EK
686,1037,NS,IK,EK
686,1981,EW,ID,NK
686,1981,NS,ID,NK
686,2171,ES,ES,ES
1344,0,EW,SS,NK
1344,0,NS,SS,NK
1344,1527,EW,AD,NK
1344,1534,EW,IK,CK
1344,1554,NS,IK,CK
1344,2137,EW,ID,NK
1344,2137,NS,ID,NK
1344,2171,ES,ES,ES
1427,0,EW,SS,NK
1427,0,NS,SS,NK
1427,518,EW,AD,NK
1427,525,EW,IK,CK
1427,532,NS,IK,CK
1427,1705,NS,ID,NK
1427,2029,EW,ID,NK
1427,2171,ES,ES,ES
33,0,EW,SS,CK
33,0,NS,SS,CK
33,2207,ES,ES,ES
133,0,EW,SS,NK
